id,shop_domain,application_id,autocomplete_enabled,user_created_at_least_one_qr,nbr_merchandised_queries,nbrs_pinned_items,showing_logo,has_changed_sort_orders,analytics_enabled,use_metafields,nbr_metafields,use_default_colors,show_products,instant_search_enabled,instant_search_enabled_on_collection,only_using_faceting_on_collection,use_merchandising_for_collection,index_prefix,indexing_paused,install_channel,export_date
ff0252ff-24c1-4cb0-af9c-382cb57593aa,program-bank-scene.myshopify.com,RDWHQDBY02,True,False,0,[0],True,False,False,False,19,True,False,False,False,False,False,shopify_idea_member_sign_,False,marketplace,2019-04-04
3c203ecd-17c8-4707-91d3-ef716d59fdc9,wide-middle-example.myshopify.com,S4URU31M5L,True,False,0,[0],True,False,False,False,16,True,False,False,False,False,False,shopify_forget_owner_and_,False,marketplace,2019-04-04
e02f13e6-a2ea-42b9-89f0-56cdcdd94dfd,individual-surface-edge.myshopify.com,MKG6HV12MD,True,False,0,[0],True,False,False,False,16,True,False,False,False,False,False,shopify_,False,marketplace,2019-04-04
1d30e30a-f12a-47cc-98f6-075c4b0baca2,minute-clearly-food.myshopify.com,3C99YAM5CP,True,False,0,[0],True,False,False,False,5,True,False,False,False,False,False,shopify_,False,marketplace,2019-04-04
616b1064-ff27-450c-bf21-0bad22d2fd75,even-some-foreign.myshopify.com,0VGMMH3X6N,True,False,0,[0],False,False,False,False,12,True,False,False,False,False,False,shopify_night_always_cup_,False,marketplace,2019-04-04
b679f39e-8485-49bf-847c-f0fda44a9f1f,anything-realize-whole.myshopify.com,WFUBD2DKB4,True,False,0,[0],True,False,False,False,16,True,False,False,False,False,False,shopify_land_sure_value_,False,marketplace,2019-04-04
0ac20c47-c118-4706-8a8d-827f0e8c9e0d,evening-far-certainly.myshopify.com,LB0VOLG5AG,True,True,3,"[2, 2, 2]",True,False,True,True,7,True,False,True,True,False,False,shopify_throughout_stuff_real_,False,marketplace,2019-04-04
c03df881-3212-44b1-9eeb-e61f3d6d7967,indeed-tax-foreign.myshopify.com,KMTGTFLC4T,True,False,0,[0],False,False,False,True,15,True,False,False,False,False,False,shopify_,False,marketplace,2019-04-04
5622612c-dfd3-43cc-9f3e-e323c0b9b99c,wife-speech-both.myshopify.com,HTXNSRPIQP,True,False,0,[0],False,False,False,True,16,True,False,False,False,False,False,shopify_,False,marketplace,2019-04-04
d8db1bb1-c217-4df3-988d-51e0bb0ec3db,interest-one-old.myshopify.com,P9S8EDX75B,True,False,0,[0],True,False,False,False,1,True,False,False,False,False,False,shopify_morning_,False,marketplace,2019-04-04
ef9222f5-b693-43e9-a97a-0c298d47738e,run-month-public.myshopify.com,LR35GZIOWO,True,False,0,[0],True,True,False,False,13,True,False,False,False,False,False,shopify_,False,marketplace,2019-04-04
a079e0df-af95-4035-9395-7ea315d01465,human-himself-out.myshopify.com,A5F5QR82WS,True,True,1,[2],False,False,True,True,11,False,True,True,False,True,False,shopify_once_color_final_,False,marketplace,2019-04-04
a77fcd60-46d8-40aa-b90a-0e26eb149a7c,speak-city-manager.myshopify.com,W01Y3YPEMC,True,False,0,[0],False,False,False,False,14,True,False,True,False,False,False,shopify_,False,marketplace,2019-04-04
1237133b-f98e-4278-b159-aa891e3c9a1c,country-what-suggest.myshopify.com,N42A073AXB,True,False,0,[0],True,True,False,True,17,True,False,False,False,False,False,shopify_,False,marketplace,2019-04-04
7e6a9900-d042-42e6-8edb-8d4a77c5b878,mean-will-determine.myshopify.com,5AW94CQUCQ,True,False,0,[0],True,True,False,False,10,True,False,False,False,False,False,shopify_,False,marketplace,2019-04-04
2ddf02a9-1bbf-4978-ba13-3aa4633a0599,pretty-better-hard.myshopify.com,2QS1I50P1P,True,False,0,[0],False,True,True,False,1,True,True,True,False,False,False,shopify_administration_,False,marketplace,2019-04-04
c83b0320-b2c7-434f-96e2-6166505aea56,sister-agreement-tell.myshopify.com,DZT8TADLXK,True,False,0,[0],True,True,False,True,19,True,False,False,False,False,False,shopify_more_,False,marketplace,2019-04-04
b865d58d-bc87-4829-8ad0-36fdb3162774,seven-relationship-discuss.myshopify.com,OLE7VI1BVK,False,False,0,[0],False,False,False,True,6,True,True,False,False,False,False,shopify_shoulder_office_candidate_,False,marketplace,2019-04-04
eb250281-7739-4b36-b840-e85a95fd7ffc,sit-item-sea.myshopify.com,EEJ0NG95HQ,True,False,0,[0],False,False,False,True,N/A,True,False,True,False,False,False,shopify_reduce_white_draw_,False,marketplace,2019-04-04
