id,shop_domain,application_id,autocomplete_enabled,user_created_at_least_one_qr,nbr_merchandised_queries,nbrs_pinned_items,showing_logo,has_changed_sort_orders,analytics_enabled,use_metafields,nbr_metafields,use_default_colors,show_products,instant_search_enabled,instant_search_enabled_on_collection,only_using_faceting_on_collection,use_merchandising_for_collection,index_prefix,indexing_paused,install_channel,export_date
895a0067-48fd-44bc-95b4-53ea081c34ef,decision-chance-word.myshopify.com,6PHYS9QK5H,True,False,0,[0],True,False,False,False,6,True,False,False,False,False,False,shopify_,False,marketplace,2019-04-07
3ca6ab55-1935-48aa-a862-dd40bf42241b,play-glass-manager.myshopify.com,FV60B5MQKY,True,False,0,[0],True,False,False,False,9,True,False,False,False,False,False,shopify_experience_art_tax_,False,marketplace,2019-04-07
70b5aca0-cdda-4494-94c2-d306de6960f1,rate-meeting-drive.myshopify.com,532GEN8NBB,True,False,0,[0],True,False,False,False,2,True,False,False,False,False,False,shopify_,False,marketplace,2019-04-07
e3df7dac-1e37-47c7-92e6-107f7ff3a36d,beautiful-which-view.myshopify.com,SQ9WNDPYDR,True,False,0,[0],True,False,False,False,6,True,False,False,False,False,False,shopify_,False,marketplace,2019-04-07
8658b72e-9caa-4d5a-a501-a87821c4e502,enjoy-than-first.myshopify.com,0A50VXL887,True,False,0,[0],False,False,False,False,N/A,True,False,False,False,False,False,shopify_project_,False,marketplace,2019-04-07
b0093ca9-a19f-45ba-b60e-daf96f1eb49b,natural-onto-what.myshopify.com,ADOG161P5D,True,False,0,[0],True,False,False,False,6,True,False,False,False,False,False,shopify_somebody_,False,marketplace,2019-04-07
5784f1b8-ce41-401c-87f9-97684939387e,occur-theory-want.myshopify.com,4FXD7ILU54,True,True,3,"[2, 2, 2]",True,False,True,True,14,True,False,True,True,False,False,shopify_,False,marketplace,2019-04-07
48473ebd-a13c-4fe5-9154-e3878439ec71,stay-official-born.myshopify.com,,True,False,0,[0],False,False,False,True,3,True,False,False,False,False,False,shopify_,False,marketplace,2019-04-07
0447aded-91ea-439f-908a-5bc7f1887a51,nature-me-few.myshopify.com,16V44A9T11,True,False,0,[0],False,False,False,True,9,True,False,False,False,False,False,shopify_,False,marketplace,2019-04-07
b5e0271b-da64-46af-a563-c2c07ad75490,sister-establish-audience.myshopify.com,H8KGWREUMQ,True,False,0,[0],True,False,False,False,1,True,False,False,False,False,False,shopify_suffer_offer_hard_,False,marketplace,2019-04-07
1fc9e0fc-00bb-4076-9195-268efa394b1c,old-hard-much.myshopify.com,TXY3ML6J58,True,False,0,[0],True,True,False,False,15,True,False,False,False,False,False,shopify_however_,False,marketplace,2019-04-07
e8b4cb6a-f172-4fe5-82a2-ee609b3c4250,mrs-design-firm.myshopify.com,74DSCWGRGS,True,True,1,[2],False,False,True,True,8,False,True,True,False,True,False,shopify_admit_democrat_why_,False,marketplace,2019-04-07
