id,shop_domain,application_id,autocomplete_enabled,user_created_at_least_one_qr,nbr_merchandised_queries,nbrs_pinned_items,showing_logo,has_changed_sort_orders,analytics_enabled,use_metafields,nbr_metafields,use_default_colors,show_products,instant_search_enabled,instant_search_enabled_on_collection,only_using_faceting_on_collection,use_merchandising_for_collection,index_prefix,indexing_paused,install_channel,export_date
c70968ab-4355-4606-9b1f-8069e3326de3,image-southern-section.myshopify.com,WIUDC7QLNA,True,False,0,[0],True,False,False,False,17,True,False,False,False,False,False,shopify_learn_relationship_amount_,False,marketplace,2019-04-06
a6fb3d3a-4749-49d9-8c69-40c6b18d18db,ask-difficult-human.myshopify.com,UTLO566STR,True,False,0,[0],True,False,False,False,14,True,False,False,False,False,False,shopify_,False,marketplace,2019-04-06
77142265-2488-4801-b9e4-f72845116a2c,consumer-computer-medical.myshopify.com,IQFBBTYMT4,True,False,0,[0],True,False,False,False,12,True,False,False,False,False,False,shopify_society_,False,marketplace,2019-04-06
3ed2a34e-b134-4b74-9a50-08b2fb9a913c,base-similar-possible.myshopify.com,YF4AS5MWFA,True,False,0,[0],True,False,False,False,11,True,False,False,False,False,False,shopify_tough_expect_glass_,False,marketplace,2019-04-06
ff2f99c6-e70b-4f29-a444-4625ffe6271b,throw-thought-base.myshopify.com,KEJULG12HQ,True,False,0,[0],False,False,False,False,4,True,False,False,False,False,False,shopify_,False,marketplace,2019-04-06
1ddfd39c-337b-4b9a-920b-db6fc5c3595d,opportunity-several-first.myshopify.com,ZHBUGAWW9L,True,False,0,[0],True,False,False,False,4,True,False,False,False,False,False,shopify_recently_,False,marketplace,2019-04-06
14f5ace1-df6a-467e-82f4-c504d794d77a,baby-amount-door.myshopify.com,89XKGO787E,True,True,3,"[2, 2, 2]",True,False,True,True,5,True,False,True,True,False,False,shopify_,False,marketplace,2019-04-06
6dcbee38-daaa-46a8-bf5e-b39170e97dff,article-we-success.myshopify.com,3Y6UQ88QYW,True,False,0,[0],False,False,False,True,N/A,True,False,False,False,False,False,shopify_,False,marketplace,2019-04-06
511199e1-5c42-41c1-8b56-d929cbb317cb,fish-produce-station.myshopify.com,ESJN58LY29,True,False,0,[0],False,False,False,True,14,True,False,False,False,False,False,shopify_use_,False,marketplace,2019-04-06
b9308127-5319-4e18-a079-f544574b60dd,rock-local-discussion.myshopify.com,DU942KNKNT,True,False,0,[0],True,False,False,False,11,True,False,False,False,False,False,shopify_discover_,False,marketplace,2019-04-06
07fda70c-5c9f-4104-93ec-c9ae54898855,machine-particular-can.myshopify.com,EDN4SPLL8Y,True,False,0,[0],True,True,False,False,6,True,False,False,False,False,False,shopify_,False,marketplace,2019-04-06
