id,shop_domain,application_id,autocomplete_enabled,user_created_at_least_one_qr,nbr_merchandised_queries,nbrs_pinned_items,showing_logo,has_changed_sort_orders,analytics_enabled,use_metafields,nbr_metafields,use_default_colors,show_products,instant_search_enabled,instant_search_enabled_on_collection,only_using_faceting_on_collection,use_merchandising_for_collection,index_prefix,indexing_paused,install_channel,export_date
eb77cbc5-b7aa-4b06-aed6-80d7c6ae84e5,sister-lose-parent.myshopify.com,DHOTN807YZ,True,False,0,[0],True,False,False,False,3,True,False,False,False,False,False,shopify_,False,marketplace,2019-04-05
d0f7d40b-172e-4007-ba3f-867ef5d9dbed,reality-bring-blood.myshopify.com,D6WMGCDWN5,True,False,0,[0],True,False,False,False,7,True,False,False,False,False,False,shopify_at_family_thought_,False,marketplace,2019-04-05
6877b3d6-1ce0-4404-adcb-91296f771814,question-response-parent.myshopify.com,55S05U9I7B,True,False,0,[0],True,False,False,False,20,True,False,False,False,False,False,shopify_discover_,False,marketplace,2019-04-05
3a313171-a0c8-4c48-b461-f3da43fc6403,general-indeed-yeah.myshopify.com,Q8U4WCRGBX,True,False,0,[0],True,False,False,False,8,True,False,False,False,False,False,shopify_,False,marketplace,2019-04-05
1df77b17-4fc4-4bfb-943d-55405d7270e7,page-quickly-paper.myshopify.com,7EQDPIGSZ9,True,False,0,[0],False,False,False,False,8,True,False,False,False,False,False,shopify_about_,False,marketplace,2019-04-05
4071260e-b099-42b8-a323-39c563d33539,rock-point-fast.myshopify.com,JW2H21UGXY,True,False,0,[0],True,False,False,False,4,True,False,False,False,False,False,shopify_,False,marketplace,2019-04-05
a563e9d3-5b36-42a4-b3a8-b4b8c529ed9b,can-record-my.myshopify.com,45LMBECH4X,True,True,3,"[2, 2, 2]",True,False,True,True,0,True,False,True,True,False,False,shopify_,False,marketplace,2019-04-05
801ed5da-f4a7-4b45-9a93-0a1de7576fc3,name-tend-election.myshopify.com,EHJW3607B3,True,False,0,[0],False,False,False,True,5,True,False,False,False,False,False,shopify_physical_,False,marketplace,2019-04-05
740ad0ac-49fe-4d49-a6da-a02a8f7ed9a1,attack-still-several.myshopify.com,TLSLCQA1TA,True,False,0,[0],False,False,False,True,12,True,False,False,False,False,False,shopify_,False,marketplace,2019-04-05
d2e553be-b992-4e91-87f3-d51719401ce0,stuff-speak-truth.myshopify.com,J83U4W5MFO,True,False,0,[0],True,False,False,False,N/A,True,False,False,False,False,False,shopify_,False,marketplace,2019-04-05
9aa95b34-4bbb-4805-b9b8-52d7605213b0,clear-threat-all.myshopify.com,T4E1YNMIBW,True,False,0,[0],True,True,False,False,0,True,False,False,False,False,False,shopify_use_while_may_,False,marketplace,2019-04-05
93649e13-db59-4156-9601-8d4c3a6ed0d1,among-growth-common.myshopify.com,IWW4T7DD2C,True,True,1,[2],False,False,True,True,13,False,True,True,False,True,False,shopify_,False,marketplace,2019-04-05
7a1b0b11-a52e-43e5-9c0a-0101d1f545f9,which-only-military.myshopify.com,FJA0ALJ5MO,True,False,0,[0],False,False,False,False,7,True,False,True,False,False,False,shopify_development_,False,marketplace,2019-04-05
a892d08c-64ba-4de8-ad20-31a82665dbee,player-imagine-fly.myshopify.com,Z8TWNLN1V1,True,False,0,[0],True,True,False,True,1,True,False,False,False,False,False,shopify_,False,marketplace,2019-04-05
a6eb2bad-ea38-476b-b900-a5f6b3b63c0d,staff-build-various.myshopify.com,159QPW739T,True,False,0,[0],True,True,False,False,9,True,False,False,False,False,False,shopify_reason_,False,marketplace,2019-04-05
aea8f21e-6327-4719-b449-02be95355703,after-conference-fish.myshopify.com,74M2AVC3A1,True,False,0,[0],False,True,True,False,0,True,True,True,False,False,False,shopify_,False,marketplace,2019-04-05
8e0043a0-44cc-4582-a569-0c2c860dbf15,remember-pay-resource.myshopify.com,CWPUS3HGDR,True,False,0,[0],True,True,False,True,20,True,False,False,False,False,False,shopify_,False,marketplace,2019-04-05
5eb44723-932f-4ba2-a0d9-7cf9309c69fc,arrive-team-poor.myshopify.com,O560MYOQSC,False,False,0,[0],False,False,False,True,9,True,True,False,False,False,False,shopify_write_instead_catch_,False,marketplace,2019-04-05
fb96be0f-366b-4f65-9bd1-784b0c8fce73,tonight-seek-customer.myshopify.com,GKRV1ZLY5J,True,False,0,[0],False,False,False,True,19,True,False,True,False,False,False,shopify_financial_too_tonight_,False,marketplace,2019-04-05
4f0c1bd3-2602-4a91-9b3f-8018e64a767f,whose-teacher-thing.myshopify.com,19RRZLSC97,True,False,0,[0],False,False,False,False,16,False,False,True,False,False,False,shopify_thought_thank_low_,False,marketplace,2019-04-05
e1fa3a31-453b-42f9-b949-5758ed2619bd,spend-senior-bank.myshopify.com,QW10IKFVGK,True,False,0,[0],True,True,False,False,13,True,False,False,False,False,False,shopify_prove_assume_world_,False,marketplace,2019-04-05
8cd94f27-877d-401a-8460-a4a7d19c2ea8,gun-plant-quickly.myshopify.com,NRK29ZO1EW,True,False,0,[0],False,True,False,False,9,True,False,False,False,False,False,shopify_research_happy_of_,False,marketplace,2019-04-05
4d288472-fafc-4ff2-aeaf-db03f0d3ad82,beat-realize-instead.myshopify.com,ETR28BOD5O,True,False,0,[0],False,False,False,True,9,False,False,True,False,False,False,shopify_,False,marketplace,2019-04-05
5b662c79-7a95-423b-8a95-58e9667c959c,popular-it-amount.myshopify.com,N9I7Z47I4D,True,False,0,[0],False,True,False,False,2,False,False,True,False,False,False,shopify_dinner_,False,marketplace,2019-04-05
73d033a8-9f43-4f7c-a48d-157f9217d776,stay-spend-think.myshopify.com,IF8S3RU6M6,True,False,0,[0],False,False,False,True,13,True,True,True,False,False,False,shopify_argue_build_section_,False,marketplace,2019-04-05
e3b28478-f70f-452f-83f9-8574a07e331b,others-prevent-fund.myshopify.com,RO538RYLYC,True,False,0,[0],True,True,False,False,0,True,False,False,False,False,False,shopify_,False,marketplace,2019-04-05
cd6eaadc-7b36-4566-9006-5aff393d0ce3,radio-movement-enough.myshopify.com,RFR3630NHA,True,False,0,[0],True,False,False,True,18,True,False,True,False,False,False,shopify_,False,marketplace,2019-04-05
377cdb2d-52b6-415f-941c-92d5bc6503bd,operation-past-specific.myshopify.com,4WYJ2HH3QF,True,False,0,[0],True,True,False,False,14,True,False,False,False,False,False,shopify_model_,False,marketplace,2019-04-05
8b81836f-ab71-4055-acb4-e6b53814bd14,modern-about-east.myshopify.com,KEUFXDVCY6,True,False,0,[0],True,True,False,False,4,False,False,True,False,False,False,shopify_,False,marketplace,2019-04-05
9baa0662-8bf8-49d2-ad00-d4daad8e9f2f,other-open-possible.myshopify.com,HYDQG73PHA,True,False,0,[0],True,False,False,False,9,True,False,True,False,False,False,shopify_detail_,False,marketplace,2019-04-05
164df6a1-536a-493a-8839-84e83aa98ed4,billion-strong-senior.myshopify.com,YKG4ROONLD,True,False,0,[0],False,False,False,True,7,False,False,True,False,False,False,shopify_share_rock_yeah_,False,marketplace,2019-04-05
5bc68a12-4825-4279-8a3e-be3072059d02,sure-from-respond.myshopify.com,VGCPP1LWFR,True,False,0,[0],False,True,False,False,3,True,False,True,False,False,False,shopify_number_,False,marketplace,2019-04-05
bfde67f3-788e-49b9-b504-bd9169cac746,quality-hot-research.myshopify.com,38SAGTTMX1,True,False,0,[0],True,True,False,False,20,True,False,False,False,False,False,shopify_own_,False,marketplace,2019-04-05
38fa64ed-7773-48b6-81ca-2d3616d99ffb,instead-western-maybe.myshopify.com,QC3ZPSLV64,True,False,0,[0],False,False,False,False,14,False,False,True,False,True,False,shopify_,False,marketplace,2019-04-05
5c1d9eff-99bd-4574-b57a-cebe2bb3d6d3,prove-color-center.myshopify.com,,True,False,0,[0],True,True,False,False,15,False,False,True,False,False,False,shopify_sign_hundred_leg_,False,marketplace,2019-04-05
7e262452-aae4-44c2-a224-88ca4a5d35dd,debate-medical-many.myshopify.com,TBXPFXD9YY,True,False,0,[0],True,False,False,False,15,False,False,True,False,False,False,shopify_,False,marketplace,2019-04-05
